properties/id,properties/name,properties/ort,properties/type/0,properties/type/1,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/type,type,properties/color,properties/ID,properties/type,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry/coordinates/5/0,geometry/coordinates/5/1,geometry/coordinates/6/0,geometry/coordinates/6/1,geometry/coordinates/7/0,geometry/coordinates/7/1,geometry/coordinates/8/0,geometry/coordinates/8/1,geometry/coordinates/9/0,geometry/coordinates/9/1,geometry/coordinates/10/0,geometry/coordinates/10/1,geometry/coordinates/11/0,geometry/coordinates/11/1,geometry/coordinates/12/0,geometry/coordinates/12/1,geometry/coordinates/13/0,geometry/coordinates/13/1,geometry/coordinates/14/0,geometry/coordinates/14/1,geometry/coordinates/15/0,geometry/coordinates/15/1,geometry/coordinates/16/0,geometry/coordinates/16/1,geometry/coordinates/17/0,geometry/coordinates/17/1,geometry/coordinates/18/0,geometry/coordinates/18/1,geometry/coordinates/19/0,geometry/coordinates/19/1,geometry/coordinates/20/0,geometry/coordinates/20/1,geometry/coordinates/21/0,geometry/coordinates/21/1,geometry/coordinates/22/0,geometry/coordinates/22/1,geometry/coordinates/23/0,geometry/coordinates/23/1,geometry/coordinates/24/0,geometry/coordinates/24/1,geometry/coordinates/25/0,geometry/coordinates/25/1,geometry/coordinates/26/0,geometry/coordinates/26/1,geometry/coordinates/27/0,geometry/coordinates/27/1,geometry/coordinates/28/0,geometry/coordinates/28/1,geometry/coordinates/29/0,geometry/coordinates/29/1,geometry/coordinates/30/0,geometry/coordinates/30/1,geometry/coordinates/31/0,geometry/coordinates/31/1,geometry/coordinates/32/0,geometry/coordinates/32/1,geometry/coordinates/33/0,geometry/coordinates/33/1,geometry/coordinates/34/0,geometry/coordinates/34/1,geometry/coordinates/35/0,geometry/coordinates/35/1,geometry/coordinates/36/0,geometry/coordinates/36/1,geometry/coordinates/37/0,geometry/coordinates/37/1,geometry/coordinates/38/0,geometry/coordinates/38/1,geometry/coordinates/39/0,geometry/coordinates/39/1,geometry/coordinates/40/0,geometry/coordinates/40/1,geometry/coordinates/41/0,geometry/coordinates/41/1,geometry/coordinates/42/0,geometry/coordinates/42/1,geometry/coordinates/43/0,geometry/coordinates/43/1,geometry/coordinates/44/0,geometry/coordinates/44/1,geometry/coordinates/45/0,geometry/coordinates/45/1,geometry/coordinates/46/0,geometry/coordinates/46/1,geometry/coordinates/47/0,geometry/coordinates/47/1,geometry/coordinates/48/0,geometry/coordinates/48/1,geometry/coordinates/49/0,geometry/coordinates/49/1,geometry/coordinates/50/0,geometry/coordinates/50/1,geometry/coordinates/51/0,geometry/coordinates/51/1,geometry/coordinates/52/0,geometry/coordinates/52/1,geometry/coordinates/53/0,geometry/coordinates/53/1,geometry/coordinates/54/0,geometry/coordinates/54/1,geometry/coordinates/55/0,geometry/coordinates/55/1,geometry/coordinates/56/0,geometry/coordinates/56/1,geometry/coordinates/57/0,geometry/coordinates/57/1,geometry/coordinates/58/0,geometry/coordinates/58/1,geometry/coordinates/59/0,geometry/coordinates/59/1,geometry/coordinates/60/0,geometry/coordinates/60/1,geometry/coordinates/61/0,geometry/coordinates/61/1,geometry/coordinates/62/0,geometry/coordinates/62/1,geometry/coordinates/63/0,geometry/coordinates/63/1,geometry/coordinates/64/0,geometry/coordinates/64/1,geometry/coordinates/65/0,geometry/coordinates/65/1,geometry/coordinates/66/0,geometry/coordinates/66/1,geometry/coordinates/67/0,geometry/coordinates/67/1,geometry/coordinates/68/0,geometry/coordinates/68/1
1680178,Antwerpen-Geleen-Pipeline-Ethylene,Antwerpen,7,52,4.345783,51.2549551,5.8049,50.9596,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680178,Antwerpen-Feluy-Pipeline-Ethylene,Antwerpen,7,52,4.345783,51.2549551,4.2148,50.5555,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680178,Antwerpen-Jemeppe-Pipeline-Ethylene,Antwerpen,7,52,4.345783,51.2549551,4.66,50.447,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680178,Antwerpen-Terneuzen-Pipeline-Ethylene,Antwerpen,7,52,4.345783,51.2549551,3.8225052,51.3342613,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680174,Rheinberg-Oberhausen-Pipeline-Ethylene,Rheinberg,7,52,6.5778,51.56477,6.796449399999999,51.5267932,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680194,Ludwigshafen-Karlsruhe-Pipeline-Ethylene,Ludwigshafen,7,52,8.432187,49.495614,8.336459999999999,49.05311,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680190,Karlsruhe-Münchsmünster-Pipeline-Ethylene,Karlsruhe,7,52,8.336459999999999,49.05311,11.7037456,48.7555011,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680186,Wesseling-Frankfurt-Pipeline-Ethylene,Wesseling,7,52,7.007482899999999,50.8170527,8.543887,50.082808,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680188,Frankfurt Höchst-Ludwigshafen-Pipeline-Ethylene,Frankfurt (Main),7,52,8.543887,50.082808,8.432187,49.495614,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733952,Brunsbüttel-Stade-Pipeline-Ethylene,Stade,7,52,9.486706,53.635588,9.1827626,53.901848,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737102,Rotterdam-Moerdijk-Pipeline-Ethylene,Rotterdam,7,52,4.11276,51.9393798,4.5836,51.6831,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737102,Moerdijk-Antwerpen-Pipeline-Ethylene,Moerdijk,7,52,4.5836,51.6831,4.345783,51.2549551,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737106,Köln-Nord-Frechen-Pipeline-Ethylene,Köln,7,52,6.9309734,51.0068616,6.766109999999999,50.90397,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737110,Gelsenkirchen-Bottrop-Pipeline-Ethylene,Gelsenkirchen,7,52,7.0284381,51.59696839999999,6.96041,51.5106,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737110,Runcorn-Preston-Pipeline-Ethylene,Runcorn,7,52,-2.7667,53.3233,-2.7298,53.7604,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737110,Preston-Wilton-Pipeline-Ethylene,Middlesbrough,7,52,-2.7298,53.7604,-1.2298,54.586,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737110,Wilton-CarterBar-Pipeline-Ethylene,Wilton,7,52,-1.2298,54.586,-2.4801,55.354,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737110,CarterBar-Grangemouth-Pipeline-Ethylene,Grangemouth,7,52,-2.4801,55.354,-3.69857,56.0111,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678848,Ludwigshafen-Karlsruhe-Pipeline-Propylene,Ludwigshafen,7,54,8.432187,49.495614,8.336459999999999,49.05311,LineString,Feature,#FF8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680110,Marl-Gelsenkirchen-Pipeline-Propylene,Marl,7,54,7.100303,51.681714,7.0284381,51.59696839999999,LineString,Feature,#FF8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680122,Oberhausen-Duisburg-Pipeline-Propylene,Oberhausen,7,54,6.796449399999999,51.5267932,6.73572,51.43892,LineString,Feature,#FF8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680120,Gelsenkirchen-Oberhausen-Pipeline-Propylene,Gelsenkirchen,7,54,7.0284381,51.59696839999999,6.796449399999999,51.5267932,LineString,Feature,#FF8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680124,Moers-Duisburg-Pipeline-Propylene,Moers,7,54,6.646913,51.4702002,6.73572,51.43892,LineString,Feature,#FF8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737102,Rotterdam-Moerdijk-Pipeline-Ethylene,Rotterdam,7,54,4.11276,51.9393798,4.5836,51.6831,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737102,Moerdijk-Antwerpen-Pipeline-Ethylene,Moerdijk,7,54,4.5836,51.6831,4.345783,51.2549551,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680178,Antwerpen-Feluy-Pipeline-Ethylene,Antwerpen,7,54,4.345783,51.2549551,4.2148,50.5555,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680178,Antwerpen-Beringen-Pipeline-Ethylene,Antwerpen,7,54,4.345783,51.2549551,5.15,51.076,LineString,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,37.86805,0.313749999999345,37.89183000000048,0.41657,LineString,Feature,,141167,Above ground pipelines,37.90368999999919,0.425509999999122,37.90450000000055,0.431220000000394,37.9096499999996,0.46724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36.886640000000625,-1.416059999999561,36.90791999999965,-1.436040000000503,LineString,Feature,,141200,Underground pipelines,36.90883000000031,-1.438570000000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36.04827,-1.801820000000589,36.05751000000055,-1.80487,LineString,Feature,,141202,Above ground pipelines,36.074469999999565,-1.817160000000513,36.07531000000017,-1.831840000000739,36.0961499999994,-1.8503,36.11305999999968,-1.850979999999254,36.148119999999835,-1.858120000000781,36.15381999999954,-1.859280000000581,36.163800000000265,-1.856139999999869,36.205299999999625,-1.857470000000831,36.21292999999969,-1.848149999999805,36.2429800000009,-1.863460000000487,36.25764,-1.874980000000505,36.26116,-1.875819999999294,36.28303000000051,-1.881030000000465,36.288440000000264,-1.888740000000325,36.30305000000044,-1.890980000000127,36.36808000000019,-1.84574000000066,36.37808000000041,-1.83878,36.37882,-1.83259,36.39872,-1.819330000000264,36.40795000000071,-1.82006,36.47746,-1.793929999999818,36.48309,-1.791810000000623,36.49714,-1.831169999999474,36.50033000000076,-1.85280000000057,36.4988400000002,-1.861310000000231,36.49579000000085,-1.865970000000743,36.503640000000814,-1.896080000000438,36.507509999999456,-1.902249999999185,36.50645000000077,-1.906199999999444,36.503749999999854,-1.91619,36.506069999999454,-1.91849,36.51984000000084,-1.90759000000071,36.52820000000065,-1.890530000000581,36.540429999999105,-1.878870000000461,36.55349000000024,-1.878790000000663,36.560450000000856,-1.886490000000777,36.594670000000406,-1.895889999999781,36.62663000000066,-1.904669999999896,36.629720000000816,-1.907750000000306,36.66439999999966,-1.92533,36.71376000000055,-1.92706,36.72127999999975,-1.927330000000438,36.745020000000295,-1.913269999999102,36.74946000000091,-1.88386,36.757799999999406,-1.864480000000185,36.78872000000047,-1.838809999999285,36.80751000000055,-1.823210000000472,36.83358000000044,-1.814549999999144,36.83738000000085,-1.807570000000851,36.8411300000007,-1.791310000000522,36.843189999999595,-1.751089999999749,36.841200000000754,-1.741910000000644,36.8143799999998,-1.618360000000394,36.807670000000144,-1.58741,36.79838000000018,-1.575870000000577,36.80213999999978,-1.560380000000805,36.76749000000018,-1.506729999999152,36.7230899999995,-1.43793,36.71385,-1.434900000000198,36.70698000000084,-1.44189,36.70159000000058,-1.438829999999143,36.69925999999941,-1.434209999999439,36.693129999999655,-1.4365600000001,36.68740000000071,-1.43301000000065,36.674629999999524,-1.425069999999323,36.67076000000088,-1.420459999999366,36.64919999999984,-1.410529999999199
,,,,,37.96168000000034,-2.4308,37.94409000000087,-2.366459999999279,LineString,Feature,,141205,Underground pipelines,37.926470000000336,-2.323790000000372,37.92257000000063,-2.31956,37.91561999999976,-2.316080000000511,37.852530000000115,-2.284499999999753,37.801550000000134,-2.262989999999263,37.78216000000066,-2.254800000000614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38.13517999999931,-2.654010000000199,38.12954,-2.6271,LineString,Feature,,141207,Underground pipelines,38.132009999999354,-2.604279999999562,38.13514000000032,-2.591819999999643,38.155399999999645,-2.548609999999826,38.15423,-2.543110000000525,38.15042,-2.540100000000166,38.145730000000185,-2.538640000000669,38.0255300000008,-2.501319999999396,38.02370999999948,-2.500749999999243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
